"Gen","ID","Fitness"
"454",1,"i 4",10510
"455",1,"i 5",13960
"456",1,"i 6",23090
"457",1,"i 7",14070
"458",1,"i 8",23510
"459",1,"i 9",14830
"460",1,"i 10",13230
"461",1,"i 1",15630
"462",1,"i 2",23960
"463",1,"i 3",21100
"464",1,"i 4",10510
"465",1,"i 5",13960
"466",1,"i 6",23090
"467",1,"i 7",14070
"468",1,"i 8",23510
"469",1,"i 9",14830
"470",1,"i 10",13230
"471",1,"i 1",15630
"472",1,"i 2",23960
"473",1,"i 3",21100
"474",1,"i 4",10510
"475",1,"i 5",16090
"476",1,"i 6",23090
"477",1,"i 7",14070
"478",1,"i 8",23510
"479",1,"i 9",14830
"480",1,"i 10",13230
"481",1,"i 1",15630
"482",1,"i 2",23960
"483",1,"i 3",21100
"484",1,"i 4",10510
"485",1,"i 5",13960
"486",1,"i 6",23090
"487",1,"i 7",14070
"488",1,"i 8",23510
"489",1,"i 9",14830
"490",1,"i 10",13230
"491",1,"i 1",15630
"492",1,"i 2",23960
"493",1,"i 3",21100
"494",1,"i 4",10510
"495",1,"i 5",14580
"496",1,"i 6",23090
"497",1,"i 7",14070
"498",1,"i 8",23510
"499",1,"i 9",14830
"500",1,"i 10",13230
"501",1,"i 1",15630
"502",1,"i 2",23960
"503",1,"i 3",21100
"504",1,"i 4",10510
"505",1,"i 5",14580
"506",1,"i 6",23090
"507",1,"i 7",14070
"508",1,"i 8",23510
"509",1,"i 9",14830
"510",1,"i 10",13230
"511",1,"i 1",15630
"512",1,"i 2",23960
"513",1,"i 3",21100
"514",1,"i 4",10510
"515",1,"i 5",13960
"516",1,"i 6",23090
"517",1,"i 7",14070
"518",1,"i 8",23510
"519",1,"i 9",14830
"520",1,"i 10",13230
"521",1,"i 1",15630
"522",1,"i 2",23960
"523",1,"i 3",21100
"524",1,"i 4",10510
"525",1,"i 5",13960
"526",1,"i 6",23090
"527",1,"i 7",14070
"528",1,"i 8",23510
"529",1,"i 9",14830
"530",1,"i 10",13230
"531",1,"i 1",15630
"532",1,"i 2",23960
"533",1,"i 3",21100
"534",1,"i 4",10520
"535",1,"i 5",13960
"536",1,"i 6",23090
"537",1,"i 7",14070
"538",1,"i 8",23510
"539",1,"i 9",14830
"540",1,"i 10",13230
"541",1,"i 1",15630
"542",1,"i 2",23960
"543",1,"i 3",21100
"544",1,"i 4",10510
"545",1,"i 5",14580
"546",1,"i 6",23090
"547",1,"i 7",14070
"548",1,"i 8",23510
"549",1,"i 9",14830
"550",1,"i 10",13230
"551",1,"i 1",15630
"552",1,"i 2",23960
"553",1,"i 3",21100
"554",1,"i 4",10510
"555",1,"i 5",13960
"556",1,"i 6",23090
"557",1,"i 7",14070
"558",1,"i 8",23320
"559",1,"i 9",14830
"560",1,"i 10",13230
"561",1,"i 1",15630
"562",1,"i 2",23960
"563",1,"i 3",21100
"564",1,"i 4",10510
"565",1,"i 5",13960
"566",1,"i 6",23090
"567",1,"i 7",14070
"568",1,"i 8",23510
"569",1,"i 9",14830
"570",1,"i 10",13230
"571",1,"i 1",15630
"572",1,"i 2",23960
"573",1,"i 3",21100
"574",1,"i 4",10510
